,Call,Put,IV,Call Delta,Puts Delta,Gamma,Vega,Put Delta
1900,2101.904,0.335,0.6180873003247924,0.9958642516288561,-0.0010988696590463459,3.59493485440179e-06,6.0625769789802995,-0.0010988696590463459
2000,2002.778,0.422,0.5903277169845237,0.9955406361033324,-0.0014224851845699093,4.766455964265769e-06,7.677241118753609,-0.0014224851845699093
2100,1903.665,0.521,0.5627041684994062,0.995149483313367,-0.0018136379745354193,6.2394221689089035e-06,9.579457722022875,-0.0018136379745354193
2200,1804.569,0.637,0.5355041436410911,0.9946702572131916,-0.0022928640747108065,8.110997668863876e-06,11.850960026531636,-0.0022928640747108065
2300,1705.493,0.774,0.5087335777702087,0.9940822951280269,-0.0028808261598754176,1.0493889890921615e-05,14.566101339960936,-0.0028808261598754176
2400,1606.446,0.94,0.4826783687801335,0.9933425952360196,-0.003620526051882748,1.358481296716827e-05,17.890724204022845,-0.003620526051882748
2450,1556.937,1.037,0.46997141978960577,0.9928980328808096,-0.004065088407092749,1.5478117262108406e-05,19.84750873117362,-0.004065088407092749
2500,1507.44,1.146,0.4574904220169948,0.9923918004875814,-0.004571320800320958,1.7659043277329567e-05,22.04274101291612,-0.004571320800320958
2550,1457.957,1.27,0.4452347927538542,0.9918133499402667,-0.005149771347635666,2.017811343515357e-05,24.512413547578834,-0.005149771347635666
2600,1408.492,1.41,0.43326273225494555,0.9911447790461007,-0.005818342241801702,2.311119501411084e-05,27.320595248622045,-0.005818342241801702
2650,1359.046,1.571,0.4214937921155571,0.990376923835816,-0.006586197452086357,2.6513214386952708e-05,30.49088199196967,-0.006586197452086357
2700,1309.622,1.753,0.40991820536827245,0.9894930535769706,-0.007470067710931749,3.0466513989276087e-05,34.075041413454784,-0.007470067710931749
2725,1284.919,1.853,0.40419073275077416,0.9890026583982187,-0.00796046288968364,3.267654150858639e-05,36.03618910647111,-0.00796046288968364
2750,1260.223,1.96,0.39851235627325693,0.9884751178434918,-0.008488003444410393,3.5063733678479074e-05,38.12557231141603,-0.008488003444410393
2775,1235.534,2.074,0.39286781998425874,0.9879091911333868,-0.009053930154515506,3.7637897275176684e-05,40.34486165297706,-0.009053930154515506
2800,1210.852,2.196,0.38724378676339116,0.9873035508928248,-0.009659570395077428,4.0409680500611026e-05,42.69591213193442,-0.009659570395077428
2825,1186.179,2.325,0.3816729021589366,0.9866499325443737,-0.010313188743528635,4.341075122634969e-05,45.20693358723217,-0.010313188743528635
2850,1161.513,2.463,0.3760959691477322,0.9859535842458451,-0.011009537042057175,4.6633818232600245e-05,47.85376091168898,-0.011009537042057175
2875,1136.857,2.61,0.37056393328185994,0.9852025064882176,-0.011760614799684743,5.0122981346014784e-05,50.677649518236336,-0.011760614799684743
2900,1112.21,2.766,0.36504122407705103,0.9843982455792589,-0.012564875708643376,5.388350341591283e-05,53.6678451633259,-0.012564875708643376
2925,1087.573,2.932,0.35953375887461303,0.9835353023551704,-0.013427818932731928,5.7942266783219196e-05,56.83967390299057,-0.013427818932731928
2950,1062.947,3.109,0.3540451000414936,0.9826079564640877,-0.014355164823814656,6.232784429360117e-05,60.20840405882458,-0.014355164823814656
2975,1038.331,3.297,0.34854545380582463,0.9816172508281106,-0.015345870459791723,6.705042788793865e-05,63.76427074309382,-0.015345870459791723
3000,1013.728,3.497,0.34306958659684783,0.9805500138106406,-0.016413107477261695,7.216274538170034e-05,67.547874444878,-0.016413107477261695
3025,989.138,3.71,0.3376017284476866,0.9794032671267484,-0.017559854161153902,7.768946377684312e-05,71.56212139130113,-0.017559854161153902
3050,964.563,3.938,0.33215448822070426,0.9781666944555383,-0.018796426832364002,8.367799596042556e-05,75.83467270396588,-0.018796426832364002
3060,954.738,4.034,0.3299879172868013,0.9776432836507506,-0.019319837637151737,8.621739165447871e-05,77.62638093533906,-0.019319837637151737
3070,944.916,4.133,0.3278281124269874,0.9771025480068267,-0.019860573281075506,8.884351915143865e-05,79.46728343105971,-0.019860573281075506
3075,940.006,4.184,0.32674874835324985,0.9768260455421399,-0.020137075745762456,9.018851174628746e-05,80.40472558503106,-0.020137075745762456
3080,935.096,4.235,0.3256613685855261,0.9765477758598099,-0.02041534542809244,9.154846809124668e-05,81.34553993569332,-0.02041534542809244
3090,925.28,4.34,0.32351121553178974,0.9759716014676639,-0.020991519820238398,9.435452906826986e-05,83.28533056055615,-0.020991519820238398
3100,915.467,4.448,0.32136379625610445,0.9753772905291209,-0.02158583075878138,9.725395652857218e-05,85.2747880325208,-0.02158583075878138
3110,905.658,4.56,0.3192293568995581,0.9747609927386911,-0.022202128549211254,0.00010025912022484802,87.325912683214,-0.022202128549211254
3120,895.852,4.675,0.317094766111886,0.9741259605599624,-0.022837160727939936,0.00010336251042199547,89.42697563672739,-0.022837160727939936
3125,890.95,4.735,0.31602569817032355,0.9738017674066433,-0.02316135388125901,0.00010495061272373064,90.4948363218709,-0.02316135388125901
3130,886.05,4.795,0.31496987980535507,0.9734683158383198,-0.023494805449582486,0.00010657665390952053,91.58988772955601,-0.023494805449582486
3140,876.252,4.918,0.31285291961948336,0.9727877259616182,-0.024175395326284113,0.00010990419243984624,93.8146996992359,-0.024175395326284113
3150,866.458,5.045,0.31074219645363454,0.9720838463570427,-0.024879274930859674,0.00011334788097787877,96.1014759306048,-0.024879274930859674
3160,856.669,5.177,0.30864626450077204,0.9713527479836778,-0.025610373304224526,0.00011692039807670704,98.46179104575488,-0.025610373304224526
3170,846.884,5.314,0.3065529610876592,0.9705976282368225,-0.02636549305107982,0.00012061486469825645,100.88411079909956,-0.02636549305107982
3175,841.994,5.384,0.30551663955291575,0.9702073671617476,-0.026755754126154753,0.00012251853993490653,102.12994595932383,-0.026755754126154753
3180,837.105,5.456,0.30448020999704634,0.9698109541039246,-0.02715216718397773,0.00012445384377286927,103.39125473017829,-0.02715216718397773
3190,827.33,5.603,0.302406385377822,0.9689994688817506,-0.027963652406151788,0.00012842100270224789,105.96036232404964,-0.027963652406151788
